,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,TotalBath,TotalPorchSF,percent_grliving,Percent_BsmtF,YrRemMinBui,YrSoldMinRem,isNew
16,20,RL,7.533131230124546,21.902037199341358,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,9.6582707430638,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,14.389503858787654,GasA,Ex,Y,SBrkr,1.0,14.389503858787654,3,1,Gd,7,Typ,0,No,Attchd,2009.0,RFn,3.0,12.730956005642817,TA,TA,Y,1.0,1.0,6,2010,New,Partial,16.58596744894792,2.0,5.745132396064701,0.5,0.0,1,0,0.0
17,20,RL,7.448232316019433,21.443504988460102,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,11.805463148214445,Gd,TA,PConc,Ex,TA,No,GLQ,7.844946025203906,Unf,1.0,14.47416155904269,GasA,Ex,Y,SBrkr,1.0,14.677398943181979,3,1,Ex,7,Typ,1,Gd,Attchd,2005.0,Fin,3.0,12.259868090259067,TA,TA,Y,1.0,1.0,6,2010,WD,Normal,16.90549088651261,2.0,9.746271288139047,0.5,0.06478209658421673,0,5,1.0
18,20,RL,7.1972210008779385,22.28436130418816,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,9.511219710154148,Gd,TA,PConc,Ex,TA,No,GLQ,5.3809460334448715,Unf,1.0,14.845824586969892,GasA,Ex,Y,SBrkr,1.0,14.893505225946615,3,1,Ex,8,Typ,1,Gd,Attchd,2005.0,RFn,3.0,12.062536102899807,TA,TA,Y,1.0,1.0,2,2010,WD,Normal,17.14533374983489,2.0,8.0038814507272,0.5,0.015367727771679473,1,4,0.0
19,20,RL,7.844946025203906,22.336922779552612,Pave,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,13.382690472200485,Ex,TA,PConc,Ex,TA,Gd,GLQ,14.039708694883634,Unf,1.0,14.248473319639649,GasA,Ex,Y,SBrkr,1.0,16.137569780566764,3,1,Ex,10,Typ,2,Gd,Attchd,2003.0,Fin,3.0,13.004933207381988,TA,TA,Y,1.0,1.0,6,2010,WD,Normal,18.62573608014145,3.5,10.525867697126678,0.4864669794298087,0.48243148278285314,1,6,0.0
20,60,RL,7.751853423240825,22.142207755830203,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,9.434556620289202,Gd,TA,PConc,Gd,TA,Gd,GLQ,11.643869732390646,Unf,1.0,13.37747218366061,GasA,Ex,Y,SBrkr,1.0,15.554295211814171,3,1,Gd,7,Typ,1,Ex,Attchd,2002.0,Fin,3.0,12.354094166792635,TA,TA,Y,1.0,1.0,6,2010,WD,Normal,17.39734660812735,3.5,10.512743904430815,0.5738332058148432,0.34590065828845,0,8,1.0
21,120,RL,6.0120772195485275,19.56230648249779,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,8.848990272211784,Gd,TA,PConc,Gd,TA,Mn,GLQ,5.137710644618417,Unf,1.0,13.981131144325028,GasA,Ex,Y,SBrkr,1.0,14.033248644718197,2,1,Gd,6,Typ,1,Gd,Attchd,2006.0,RFn,2.0,11.189934126006927,TA,TA,Y,1.0,1.0,4,2010,WD,Normal,16.19056202351745,2.0,8.73710005749876,0.5,0.017518248175182483,0,4,1.0
22,20,RL,7.65495044352145,23.438285595414516,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,13.93265870142819,GasA,Ex,Y,SBrkr,1.0,13.93265870142819,3,1,Gd,6,Typ,0,No,Attchd,2005.0,Fin,2.0,10.894095929689868,TA,TA,Y,1.0,1.0,1,2010,WD,Normal,16.07891528574854,2.0,6.653921148278169,0.5,0.0,0,5,1.0
23,120,RL,6.093856518007759,16.70831133767199,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,4.340760310539713,Gd,TA,PConc,Gd,TA,Av,GLQ,4.53041926495877,Unf,1.0,13.47018574388358,GasA,Ex,Y,SBrkr,1.0,13.510587913259403,2,1,Gd,6,Typ,0,No,Attchd,2006.0,Fin,2.0,10.934165447113983,TA,TA,Y,1.0,1.0,1,2010,WD,Normal,15.610436743258413,2.0,9.274265741119429,0.5,0.013973799126637555,0,4,1.0
24,80,RL,6.88741871045203,22.03407422393909,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,No,GLQ,10.222126215438918,Unf,1.0,6.62289923231481,GasA,Ex,Y,SBrkr,1.0,14.041859380757135,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004.0,Fin,2.0,10.715841640087826,TA,TA,Y,1.0,1.0,6,2010,WD,Normal,14.783583113361304,3.5,7.65495044352145,0.7815699658703071,0.8489583333333334,0,6,1.0
25,60,RL,6.7737732204907655,20.2701485056519,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,12.663571962214577,GasA,Ex,Y,SBrkr,1.0,14.739719688560557,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004.0,Fin,2.0,10.911335817241909,TA,TA,Y,1.0,1.0,4,2010,WD,Normal,15.994255490008962,2.5,9.013883697367245,0.6717054263565891,0.0,0,6,1.0
26,60,RL,6.684506656824126,23.18150522928784,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,7.9168874400292815,Gd,TA,PConc,Ex,TA,No,Unf,1.0,Unf,1.0,14.551272320032991,GasA,Ex,Y,SBrkr,1.0,15.859729912948042,4,1,Gd,7,Typ,1,TA,Attchd,1998.0,Fin,3.0,13.016594470773011,TA,TA,Y,1.0,1.0,1,2010,WD,Normal,17.55565920911091,2.5,11.012698086464445,0.6030701754385965,0.0,0,12,1.0
27,20,RL,7.047663906109832,20.45243287422097,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,9.375577002227507,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,14.487445626275129,GasA,Ex,Y,SBrkr,1.0,14.487445626275129,2,1,Gd,6,Typ,1,Gd,Attchd,2005.0,RFn,3.0,12.768842092711287,TA,TA,Y,1.0,1.0,5,2010,WD,Normal,16.694670066178727,2.0,8.39749795772246,0.5,0.0,1,4,0.0
28,20,FV,7.491069783799412,20.550762955165787,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,13.689051809657878,GasA,Ex,Y,SBrkr,1.0,13.689051809657878,2,1,Gd,4,Typ,0,No,Attchd,2009.0,RFn,2.0,12.054693052542088,TA,TA,Y,1.0,1.0,4,2010,New,Partial,15.808526073597655,2.0,8.27827898532087,0.5,0.0,1,0,0.0
29,20,FV,7.314734756825906,21.046172866969783,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Ex,TA,No,GLQ,14.126815626509213,Unf,1.0,6.494161288893169,GasA,Ex,Y,SBrkr,1.0,14.238325468066865,2,1,Gd,6,Typ,1,Gd,Attchd,2005.0,Fin,2.0,11.410943347638753,TA,TA,Y,1.0,1.0,5,2010,WD,Normal,16.418177182272384,3.0,10.163203154449782,0.5,0.9632152588555858,0,5,1.0
30,60,RL,6.968980585391403,21.582651771242354,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,8.05460957075334,Gd,TA,PConc,Gd,TA,Av,Unf,1.0,Unf,1.0,12.611273018940013,GasA,Ex,Y,SBrkr,1.0,14.606657006574858,3,1,Gd,8,Typ,0,No,Attchd,2004.0,RFn,2.0,11.189934126006927,TA,TA,Y,1.0,1.0,4,2010,WD,Normal,15.879241282623282,2.5,9.232627042257835,0.6662650602409639,0.0,0,6,1.0
31,30,RH,6.968980585391403,20.793909671205796,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,1.0,TA,Fa,BrkTil,TA,TA,No,Unf,1.0,Unf,1.0,12.561460487077868,GasA,TA,N,FuseA,1.0,13.15899103078299,2,1,TA,5,Typ,0,No,Detchd,1920.0,Unf,1.0,10.888326631702043,TA,TA,Y,1.0,1.0,4,2010,WD,Normal,14.90364144296714,1.0,9.114592997374732,0.5536105032822757,0.0,30,60,0.0
32,20,RL,5.9269180446816625,22.652688747185636,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRNe,Norm,1Fam,1Story,6,6,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,9.604063356421523,TA,Gd,CBlock,TA,TA,Gd,BLQ,8.120635667155021,GLQ,12.702248507491014,9.345588710512626,GasA,Ex,Y,SBrkr,1.0,14.290777357050557,3,1,TA,7,Typ,2,Fa,Attchd,1974.0,Fin,2.0,11.067536496617619,TA,TA,Y,1.0,1.0,4,2010,WD,Abnorml,16.14483907385556,3.0,11.179489042314811,0.5529237601776462,0.8153973509933775,28,8,0.0
33,60,RL,7.337529394588084,21.98478101117682,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1993,Gable,CompShg,HdBoard,ImStucc,BrkFace,11.292419534723528,Gd,TA,PConc,Gd,TA,No,LwQ,9.604063356421523,GLQ,13.07142952716545,1.0,GasA,Ex,Y,SBrkr,1.0,15.691743393938367,4,1,Gd,9,Typ,1,TA,Attchd,1993.0,RFn,3.0,12.37544729317354,TA,TA,Y,1.0,1.0,6,2010,WD,Normal,17.084799504069128,3.5,8.646538007903064,0.656145251396648,1.0,0,17,1.0
34,60,RL,7.404586972566442,21.30527887603741,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,8.873203454932757,Gd,TA,PConc,Gd,TA,No,GLQ,13.47018574388358,Unf,1.0,9.702627911087824,GasA,Ex,Y,SBrkr,1.0,15.518774633823716,4,1,Gd,7,Typ,1,TA,Attchd,1992.0,RFn,3.0,12.196706580510563,TA,TA,Y,1.0,1.0,6,2010,WD,Normal,17.118017043200773,3.5,9.39538258223558,0.6154910096818811,0.8122302158273381,1,17,0.0
35,120,FV,5.2014612941903655,18.133592420797527,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,1.0,Gd,TA,PConc,Ex,TA,Av,GLQ,13.874483115841695,Unf,1.0,8.990963041593332,GasA,Ex,Y,SBrkr,1.0,14.27874229840466,2,1,Gd,6,Typ,1,Gd,Attchd,2004.0,Fin,2.0,11.302477323271576,TA,TA,Y,1.0,1.0,3,2010,WD,Normal,16.46303535434264,3.0,9.29484095560287,0.5,0.8723118279569892,1,5,0.0
36,160,FV,5.9269180446816625,17.02237072857166,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,12.640795289083194,GasA,Ex,Y,SBrkr,1.0,14.644922232663887,2,1,Gd,3,Typ,0,No,Attchd,2004.0,RFn,2.0,11.68838996487107,TA,TA,Y,1.0,1.0,1,2010,WD,Normal,15.917966282593023,2.5,7.8631354368480935,0.6666666666666666,0.0,0,6,1.0
37,160,FV,5.492017742920502,16.720861587358517,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,8.020909424392293,Gd,TA,PConc,Gd,TA,Av,GLQ,9.864879392672357,Unf,1.0,10.178050664421775,GasA,Ex,Y,SBrkr,1.0,13.645908720595072,2,1,Gd,4,Typ,0,No,Detchd,2004.0,RFn,2.0,11.169007130464756,TA,TA,Y,1.0,1.0,4,2010,ConLD,Normal,14.856094820831991,2.5,8.77494479144778,0.6666666666666666,0.4666666666666667,0,6,1.0
38,160,FV,5.137710644618417,15.948665258285532,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,1.0,Gd,TA,PConc,Gd,TA,No,GLQ,10.512743904430815,ALQ,6.0533710494211155,8.990963041593332,GasA,Ex,Y,SBrkr,1.0,13.645908720595072,2,1,Gd,4,Typ,0,No,Detchd,2004.0,RFn,2.0,11.169007130464756,TA,TA,Y,1.0,1.0,2,2010,WD,Normal,14.856094820831991,3.5,8.77494479144778,0.6666666666666666,0.6833333333333333,1,5,0.0
39,160,FV,5.137710644618417,15.948665258285532,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,9.274265741119429,Gd,TA,PConc,Gd,TA,No,GLQ,10.56488144852786,Unf,1.0,9.355622538951035,GasA,Ex,Y,SBrkr,1.0,13.73165675448797,2,1,Gd,4,Typ,0,No,Detchd,2005.0,RFn,2.0,11.169007130464756,TA,TA,Y,1.0,1.0,5,2010,WD,Normal,14.917112523542027,3.5,8.698683331012784,0.673202614379085,0.6266666666666667,0,5,1.0
40,160,FV,1.0,16.467492944285514,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,13.545548387869946,Gd,TA,PConc,Gd,TA,No,GLQ,11.094578286932387,Unf,1.0,9.946560885133437,GasA,Ex,Y,SBrkr,1.0,14.326637822333092,2,1,Gd,5,Typ,0,No,Detchd,2000.0,Unf,2.0,10.951171656935063,TA,TA,Y,1.0,1.0,5,2010,WD,Normal,15.579662972786576,3.5,5.597156711708115,0.6666666666666666,0.6164021164021164,0,10,1.0
41,160,FV,1.0,15.764652813666741,Pave,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,No,GLQ,9.54874312625216,Unf,1.0,9.914178988939392,GasA,Ex,Y,SBrkr,1.0,13.343354263952241,2,1,Gd,4,Typ,0,No,Attchd,2003.0,RFn,2.0,11.251846716454656,TA,TA,Y,1.0,1.0,6,2010,WD,Normal,14.515745541170915,2.5,6.357203202420049,0.6708074534161491,0.46037735849056605,0,7,1.0
