,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,TotalBath,TotalPorchSF
15,60,RL,7.694190605394483,21.894006463713595,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,15.196880574832942,15.198437226858903,Gable,CompShg,VinylSd,VinylSd,Stone,8.646538007903064,Ex,TA,PConc,Ex,TA,No,Unf,1.0,Unf,1.0,14.4779620743407,GasA,Ex,Y,SBrkr,1.0,15.67123815821452,2.5409627556327754,1.7304631471189666,Ex,3.885846472488202,Typ,1.7304631471189666,Gd,Attchd,2009.0,Fin,2.5409627556327754,12.336189720426251,TA,TA,Y,1.0,1.0,1.7304631471189666,15.198437226858903,New,Partial,17.399992052677625,2.3782017963726023,9.839893205289536
16,20,RL,7.533131230124546,21.902037199341358,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,15.196880574832942,15.198437226858903,Gable,CompShg,VinylSd,VinylSd,Stone,9.6582707430638,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,14.389503858787654,GasA,Ex,Y,SBrkr,1.0,14.389503858787654,2.5409627556327754,1.7304631471189666,Gd,3.440268378362637,Typ,1.0,No,Attchd,2009.0,RFn,2.5409627556327754,12.730956005642817,TA,TA,Y,1.0,1.0,3.2596737867230705,15.198437226858903,New,Partial,16.58596744894792,2.194317637875777,5.745132396064701
17,20,RL,7.448232316019433,21.443504988460102,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,15.19064737641105,15.19064737641105,Hip,CompShg,VinylSd,VinylSd,BrkFace,11.805463148214445,Gd,TA,PConc,Ex,TA,No,GLQ,7.844946025203906,Unf,1.0,14.47416155904269,GasA,Ex,Y,SBrkr,1.0,14.677398943181979,2.5409627556327754,1.7304631471189666,Ex,3.440268378362637,Typ,1.7304631471189666,Gd,Attchd,2005.0,Fin,2.5409627556327754,12.259868090259067,TA,TA,Y,1.0,1.0,3.2596737867230705,15.198437226858903,WD,Normal,16.90549088651261,2.194317637875777,9.746271288139047
18,20,RL,7.1972210008779385,22.28436130418816,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,15.19064737641105,15.192206665778837,Hip,CompShg,CemntBd,CmentBd,BrkFace,9.511219710154148,Gd,TA,PConc,Ex,TA,No,GLQ,5.3809460334448715,Unf,1.0,14.845824586969892,GasA,Ex,Y,SBrkr,1.0,14.893505225946615,2.5409627556327754,1.7304631471189666,Ex,3.6025944687727294,Typ,1.7304631471189666,Gd,Attchd,2005.0,RFn,2.5409627556327754,12.062536102899807,TA,TA,Y,1.0,1.0,2.194317637875777,15.198437226858903,WD,Normal,17.14533374983489,2.194317637875777,8.0038814507272
19,20,RL,7.844946025203906,22.336922779552612,Pave,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,15.187526814497952,15.189087426187385,Hip,CompShg,VinylSd,VinylSd,BrkFace,13.382690472200485,Ex,TA,PConc,Ex,TA,Gd,GLQ,14.039708694883634,Unf,1.0,14.248473319639649,GasA,Ex,Y,SBrkr,1.0,16.137569780566764,2.5409627556327754,1.7304631471189666,Ex,3.885846472488202,Typ,2.194317637875777,Gd,Attchd,2003.0,Fin,2.5409627556327754,13.004933207381988,TA,TA,Y,1.0,1.0,3.2596737867230705,15.198437226858903,WD,Normal,18.62573608014145,2.687259219708678,10.525867697126678
20,60,RL,7.751853423240825,22.142207755830203,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,15.185965540731983,15.185965540731983,Gable,CompShg,VinylSd,VinylSd,BrkFace,9.434556620289202,Gd,TA,PConc,Gd,TA,Gd,GLQ,11.643869732390646,Unf,1.0,13.37747218366061,GasA,Ex,Y,SBrkr,1.0,15.554295211814171,2.5409627556327754,1.7304631471189666,Gd,3.440268378362637,Typ,1.7304631471189666,Ex,Attchd,2002.0,Fin,2.5409627556327754,12.354094166792635,TA,TA,Y,1.0,1.0,3.2596737867230705,15.198437226858903,WD,Normal,17.39734660812735,2.687259219708678,10.512743904430815
21,120,RL,6.0120772195485275,19.56230648249779,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,15.192206665778837,15.192206665778837,Gable,CompShg,VinylSd,VinylSd,Stone,8.848990272211784,Gd,TA,PConc,Gd,TA,Mn,GLQ,5.137710644618417,Unf,1.0,13.981131144325028,GasA,Ex,Y,SBrkr,1.0,14.033248644718197,2.194317637875777,1.7304631471189666,Gd,3.2596737867230705,Typ,1.7304631471189666,Gd,Attchd,2006.0,RFn,2.194317637875777,11.189934126006927,TA,TA,Y,1.0,1.0,2.820334103642824,15.198437226858903,WD,Normal,16.19056202351745,2.194317637875777,8.73710005749876
22,20,RL,7.65495044352145,23.438285595414516,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,15.19064737641105,15.19064737641105,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,13.93265870142819,GasA,Ex,Y,SBrkr,1.0,13.93265870142819,2.5409627556327754,1.7304631471189666,Gd,3.2596737867230705,Typ,1.0,No,Attchd,2005.0,Fin,2.194317637875777,10.894095929689868,TA,TA,Y,1.0,1.0,1.7304631471189666,15.198437226858903,WD,Normal,16.07891528574854,2.194317637875777,6.653921148278169
23,120,RL,6.093856518007759,16.70831133767199,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,15.192206665778837,15.192206665778837,Gable,CompShg,VinylSd,VinylSd,BrkFace,4.340760310539713,Gd,TA,PConc,Gd,TA,Av,GLQ,4.53041926495877,Unf,1.0,13.47018574388358,GasA,Ex,Y,SBrkr,1.0,13.510587913259403,2.194317637875777,1.7304631471189666,Gd,3.2596737867230705,Typ,1.0,No,Attchd,2006.0,Fin,2.194317637875777,10.934165447113983,TA,TA,Y,1.0,1.0,1.7304631471189666,15.198437226858903,WD,Normal,15.610436743258413,2.194317637875777,9.274265741119429
24,80,RL,6.88741871045203,22.03407422393909,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,15.189087426187385,15.189087426187385,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,No,GLQ,10.222126215438918,Unf,1.0,6.62289923231481,GasA,Ex,Y,SBrkr,1.0,14.041859380757135,2.5409627556327754,1.7304631471189666,Gd,3.440268378362637,Typ,1.7304631471189666,Gd,BuiltIn,2004.0,Fin,2.194317637875777,10.715841640087826,TA,TA,Y,1.0,1.0,3.2596737867230705,15.198437226858903,WD,Normal,14.783583113361304,2.687259219708678,7.65495044352145
25,60,RL,6.7737732204907655,20.2701485056519,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,15.189087426187385,15.189087426187385,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,12.663571962214577,GasA,Ex,Y,SBrkr,1.0,14.739719688560557,2.5409627556327754,1.7304631471189666,Gd,3.440268378362637,Typ,1.7304631471189666,Gd,BuiltIn,2004.0,Fin,2.194317637875777,10.911335817241909,TA,TA,Y,1.0,1.0,2.820334103642824,15.198437226858903,WD,Normal,15.994255490008962,2.3782017963726023,9.013883697367245
26,60,RL,6.684506656824126,23.18150522928784,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,15.179713812657004,15.179713812657004,Hip,CompShg,VinylSd,VinylSd,BrkFace,7.9168874400292815,Gd,TA,PConc,Ex,TA,No,Unf,1.0,Unf,1.0,14.551272320032991,GasA,Ex,Y,SBrkr,1.0,15.859729912948042,2.820334103642824,1.7304631471189666,Gd,3.440268378362637,Typ,1.7304631471189666,TA,Attchd,1998.0,Fin,2.5409627556327754,13.016594470773011,TA,TA,Y,1.0,1.0,1.7304631471189666,15.198437226858903,WD,Normal,17.55565920911091,2.3782017963726023,11.012698086464445
27,20,RL,7.047663906109832,20.45243287422097,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,15.19064737641105,15.192206665778837,Gable,CompShg,VinylSd,VinylSd,BrkFace,9.375577002227507,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,14.487445626275129,GasA,Ex,Y,SBrkr,1.0,14.487445626275129,2.194317637875777,1.7304631471189666,Gd,3.2596737867230705,Typ,1.7304631471189666,Gd,Attchd,2005.0,RFn,2.5409627556327754,12.768842092711287,TA,TA,Y,1.0,1.0,3.055641538058108,15.198437226858903,WD,Normal,16.694670066178727,2.194317637875777,8.39749795772246
28,20,FV,7.491069783799412,20.550762955165787,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,15.196880574832942,15.198437226858903,Hip,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,13.689051809657878,GasA,Ex,Y,SBrkr,1.0,13.689051809657878,2.194317637875777,1.7304631471189666,Gd,2.820334103642824,Typ,1.0,No,Attchd,2009.0,RFn,2.194317637875777,12.054693052542088,TA,TA,Y,1.0,1.0,2.820334103642824,15.198437226858903,New,Partial,15.808526073597655,2.194317637875777,8.27827898532087
29,20,FV,7.314734756825906,21.046172866969783,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,15.19064737641105,15.19064737641105,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Ex,TA,No,GLQ,14.126815626509213,Unf,1.0,6.494161288893169,GasA,Ex,Y,SBrkr,1.0,14.238325468066865,2.194317637875777,1.7304631471189666,Gd,3.2596737867230705,Typ,1.7304631471189666,Gd,Attchd,2005.0,Fin,2.194317637875777,11.410943347638753,TA,TA,Y,1.0,1.0,3.055641538058108,15.198437226858903,WD,Normal,16.418177182272384,2.5409627556327754,10.163203154449782
30,60,RL,6.968980585391403,21.582651771242354,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,15.189087426187385,15.189087426187385,Gable,CompShg,VinylSd,VinylSd,BrkFace,8.05460957075334,Gd,TA,PConc,Gd,TA,Av,Unf,1.0,Unf,1.0,12.611273018940013,GasA,Ex,Y,SBrkr,1.0,14.606657006574858,2.5409627556327754,1.7304631471189666,Gd,3.6025944687727294,Typ,1.0,No,Attchd,2004.0,RFn,2.194317637875777,11.189934126006927,TA,TA,Y,1.0,1.0,2.820334103642824,15.198437226858903,WD,Normal,15.879241282623282,2.3782017963726023,9.232627042257835
31,30,RH,6.968980585391403,20.793909671205796,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,5,15.055628032763455,15.103851511653946,Gable,CompShg,Wd Sdng,Wd Sdng,None,1.0,TA,Fa,BrkTil,TA,TA,No,Unf,1.0,Unf,1.0,12.561460487077868,GasA,TA,N,FuseA,1.0,13.15899103078299,2.194317637875777,1.7304631471189666,TA,3.055641538058108,Typ,1.0,No,Detchd,1920.0,Unf,1.7304631471189666,10.888326631702043,TA,TA,Y,1.0,1.0,2.820334103642824,15.198437226858903,WD,Normal,14.90364144296714,1.7304631471189666,9.114592997374732
32,20,RL,5.9269180446816625,22.652688747185636,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRNe,Norm,1Fam,1Story,6,6,15.141978564871918,15.185965540731983,Hip,CompShg,Plywood,Plywood,BrkCmn,9.604063356421523,TA,Gd,CBlock,TA,TA,Gd,BLQ,8.120635667155021,GLQ,12.702248507491014,9.345588710512626,GasA,Ex,Y,SBrkr,1.0,14.290777357050557,2.5409627556327754,1.7304631471189666,TA,3.440268378362637,Typ,2.194317637875777,Fa,Attchd,1974.0,Fin,2.194317637875777,11.067536496617619,TA,TA,Y,1.0,1.0,2.820334103642824,15.198437226858903,WD,Abnorml,16.14483907385556,2.5409627556327754,11.179489042314811
33,60,RL,7.337529394588084,21.98478101117682,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,15.171884182186483,15.171884182186483,Gable,CompShg,HdBoard,ImStucc,BrkFace,11.292419534723528,Gd,TA,PConc,Gd,TA,No,LwQ,9.604063356421523,GLQ,13.07142952716545,1.0,GasA,Ex,Y,SBrkr,1.0,15.691743393938367,2.820334103642824,1.7304631471189666,Gd,3.750250297485029,Typ,1.7304631471189666,TA,Attchd,1993.0,RFn,2.5409627556327754,12.37544729317354,TA,TA,Y,1.0,1.0,3.2596737867230705,15.198437226858903,WD,Normal,17.084799504069128,2.687259219708678,8.646538007903064
34,60,RL,7.404586972566442,21.30527887603741,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,15.170316253871071,15.171884182186483,Gable,CompShg,HdBoard,HdBoard,BrkFace,8.873203454932757,Gd,TA,PConc,Gd,TA,No,GLQ,13.47018574388358,Unf,1.0,9.702627911087824,GasA,Ex,Y,SBrkr,1.0,15.518774633823716,2.820334103642824,1.7304631471189666,Gd,3.440268378362637,Typ,1.7304631471189666,TA,Attchd,1992.0,RFn,2.5409627556327754,12.196706580510563,TA,TA,Y,1.0,1.0,3.2596737867230705,15.198437226858903,WD,Normal,17.118017043200773,2.687259219708678,9.39538258223558
35,120,FV,5.2014612941903655,18.133592420797527,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,15.189087426187385,15.19064737641105,Gable,CompShg,MetalSd,MetalSd,None,1.0,Gd,TA,PConc,Ex,TA,Av,GLQ,13.874483115841695,Unf,1.0,8.990963041593332,GasA,Ex,Y,SBrkr,1.0,14.27874229840466,2.194317637875777,1.7304631471189666,Gd,3.2596737867230705,Typ,1.7304631471189666,Gd,Attchd,2004.0,Fin,2.194317637875777,11.302477323271576,TA,TA,Y,1.0,1.0,2.5409627556327754,15.198437226858903,WD,Normal,16.46303535434264,2.5409627556327754,9.29484095560287
36,160,FV,5.9269180446816625,17.02237072857166,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,15.189087426187385,15.189087426187385,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,12.640795289083194,GasA,Ex,Y,SBrkr,1.0,14.644922232663887,2.194317637875777,1.7304631471189666,Gd,2.5409627556327754,Typ,1.0,No,Attchd,2004.0,RFn,2.194317637875777,11.68838996487107,TA,TA,Y,1.0,1.0,1.7304631471189666,15.198437226858903,WD,Normal,15.917966282593023,2.3782017963726023,7.8631354368480935
37,160,FV,5.492017742920502,16.720861587358517,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,15.189087426187385,15.189087426187385,Gable,CompShg,MetalSd,MetalSd,BrkFace,8.020909424392293,Gd,TA,PConc,Gd,TA,Av,GLQ,9.864879392672357,Unf,1.0,10.178050664421775,GasA,Ex,Y,SBrkr,1.0,13.645908720595072,2.194317637875777,1.7304631471189666,Gd,2.820334103642824,Typ,1.0,No,Detchd,2004.0,RFn,2.194317637875777,11.169007130464756,TA,TA,Y,1.0,1.0,2.820334103642824,15.198437226858903,ConLD,Normal,14.856094820831991,2.3782017963726023,8.77494479144778
