,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,TotalBath,TotalPorchSF,percent_grliving,Percent_BsmtF,YrRemMinBui,YrSoldMinRem,isNew,ylogSalePrice
10,20,RL,6.968980585391403,21.329199132676486,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,1.0,TA,TA,CBlock,TA,TA,No,Rec,12.849446822580239,Unf,1.0,8.24755142516836,GasA,Ex,Y,SBrkr,1.0,13.236142518909933,3,1,TA,5,Typ,0,No,Detchd,1965.0,Unf,1.0,10.616086912297321,TA,TA,Y,1.0,1.0,2,2008,WD,Normal,15.305801939760288,2.0,1.0,0.5,0.8711538461538462,0,43,1.0,11.771443882099637
11,60,RL,7.337529394588084,21.5840230706303,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,9.914178988939392,Ex,TA,PConc,Ex,TA,No,GLQ,13.119733293613173,Unf,1.0,8.836797333082112,GasA,Ex,Y,SBrkr,1.0,15.657505709325996,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3.0,12.281862458951347,TA,TA,Y,1.0,1.0,7,2006,New,Partial,17.006853293830908,4.0,8.724358962810534,0.6641897685052872,0.8493617021276596,1,0,0.0,12.75130259456002
12,20,RL,1.0,21.929242989762106,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,1.0,TA,TA,CBlock,TA,TA,No,ALQ,12.285513379074875,Unf,1.0,8.812235750158614,GasA,TA,Y,SBrkr,1.0,12.867768587390184,2,1,TA,4,Typ,0,No,Detchd,1962.0,Unf,1.0,10.405519221765948,TA,TA,Y,1.0,1.0,9,2008,WD,Normal,14.896887111612605,2.0,10.1482763078651,0.5,0.8081140350877193,0,46,1.0,11.87757552297847
13,20,RL,7.469749997220178,21.12683835285793,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,10.072418929401417,Gd,TA,PConc,Gd,TA,Av,Unf,1.0,Unf,1.0,14.290777357050557,GasA,Ex,Y,SBrkr,1.0,14.290777357050557,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3.0,12.640795289083194,TA,TA,Y,1.0,1.0,8,2007,New,Partial,16.476392893044725,2.0,9.0252684064135,0.5,0.0,1,0,0.0,12.540761149388421
14,20,RL,1.0,21.226881370386884,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,9.232627042257835,TA,TA,CBlock,TA,TA,No,BLQ,12.27088437740026,Unf,1.0,11.371952633774399,GasA,TA,Y,SBrkr,1.0,13.77141361211901,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1.0,10.405519221765948,TA,TA,Y,1.0,1.0,5,2008,WD,Normal,15.899943641432287,2.5,10.647632875415075,0.5,0.5849960095770151,0,48,1.0,11.964007453736912
15,45,RM,6.392276337227255,18.98987134386776,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,1.0,TA,TA,BrkTil,TA,TA,No,Unf,1.0,Unf,1.0,12.614566638515486,GasA,Ex,Y,FuseA,1.0,12.686189379390555,2,1,TA,5,Typ,0,No,Detchd,1991.0,Unf,2.0,11.634887347225343,TA,TA,Y,1.0,1.0,7,2007,WD,Normal,14.655780507688625,1.0,8.620056264664793,0.5065243179122183,0.0,72,6,0.0,11.790564777297387
16,20,RL,1.0,21.343998425380768,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,8.873203454932757,TA,TA,CBlock,TA,TA,No,ALQ,11.643869732390646,Unf,1.0,10.870950045978935,GasA,Ex,Y,SBrkr,1.0,13.136614936437766,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2.0,11.169007130464756,TA,TA,Y,1.0,12.147538247731708,3,2010,WD,Normal,15.195323264382047,2.0,1.0,0.5,0.5756972111553785,0,40,1.0,11.91170829631447
17,90,RL,7.02174235239564,21.17898998870793,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,1.0,TA,TA,Slab,No,No,No,No,1.0,No,1.0,1.0,GasA,TA,Y,SBrkr,1.0,13.869967192359528,2,2,TA,6,Typ,0,No,CarPort,1967.0,Unf,2.0,11.35226609224141,TA,TA,Y,1.0,11.272201962485878,10,2006,WD,Normal,13.869967192359528,2.0,1.0,1.0,0,0,39,1.0,11.407576060361786
18,20,RL,6.859551208605442,22.15593916413874,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,1.0,TA,TA,PConc,TA,TA,No,GLQ,11.934618655762014,Unf,1.0,11.105326135535595,GasA,Ex,Y,SBrkr,1.0,13.431864645976223,3,1,Gd,6,Typ,0,No,Detchd,2004.0,Unf,2.0,11.634887347225343,TA,TA,Y,1.0,1.0,6,2008,WD,Normal,15.523054953943134,2.5,7.694190605394483,0.5,0.5798922800718133,0,4,1.0,11.976665770490767
19,20,RL,6.968980585391403,19.783792766557852,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,1.0,TA,TA,CBlock,TA,TA,No,LwQ,11.292419534723528,Unf,1.0,11.396380943459564,GasA,TA,Y,SBrkr,1.0,13.96578155387519,3,1,TA,6,Min1,0,No,Attchd,1958.0,Unf,1.0,9.978566621047088,TA,TA,Y,1.0,1.0,5,2009,COD,Abnorml,15.71755758152631,1.0,1.0,0.565456081081081,0.4897959183673469,7,44,0.0,11.842236406331555
20,60,RL,7.674652276188349,22.31189299144891,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,10.590598420556384,Gd,TA,PConc,Ex,TA,Av,Unf,1.0,Unf,1.0,13.543063139022069,GasA,Ex,Y,SBrkr,1.0,15.728374093438743,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3.0,12.682967978443886,TA,TA,Y,1.0,1.0,11,2006,New,Partial,17.040719915132282,3.5,10.678836921467422,0.6723259762308998,0.0,1,0,0.0,12.692506186542177
21,45,RM,6.59142712460611,19.727395699660036,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,1.0,TA,TA,PConc,TA,TA,No,Unf,1.0,Unf,1.0,11.897673633652223,GasA,Ex,Y,FuseF,1.0,13.416413417670666,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1.0,9.864879392672357,TA,TA,N,1.0,1.0,6,2007,WD,Normal,14.760840749928471,1.0,9.158132683068054,0.6349570200573066,0.0,20,57,0.0,11.845109950883979
22,20,RL,7.098626104970388,20.770362266043758,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,9.873157741448868,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,14.816566297617028,GasA,Ex,Y,SBrkr,1.0,14.847538317014754,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2.0,11.439858799435372,TA,TA,Y,1.0,1.0,9,2008,WD,Normal,17.077168195223194,2.0,10.25112953344019,0.5025195968645016,0.0,0,6,1.0,12.345838935721968
23,120,RM,6.133567292834429,17.656243952920164,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,1.0,TA,TA,PConc,Gd,TA,No,GLQ,12.640795289083194,Unf,1.0,9.103593650252291,GasA,TA,Y,SBrkr,1.0,13.290177871756853,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2.0,11.616842895097365,TA,TA,Y,1.0,1.0,6,2007,WD,Normal,15.335913389886391,2.0,9.211557890737238,0.5047619047619047,0.8076923076923077,0,31,1.0,11.774527900858468
24,20,RL,1.0,20.117502396939127,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,1.0,TA,Gd,CBlock,TA,TA,Mn,Rec,8.967837464043471,ALQ,12.023122571213104,9.147315588624346,GasA,Ex,Y,SBrkr,1.0,13.290177871756853,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1.0,9.780688591938043,TA,TA,Y,1.0,1.0,5,2010,WD,Normal,15.365782174526247,2.0,11.251846716454656,0.5,0.8075471698113208,33,9,0.0,11.944714374881176
25,20,RL,7.844946025203906,22.31631923987327,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,11.910037588615648,Gd,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,14.43208528618426,GasA,Ex,Y,SBrkr,1.0,14.496903957925936,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,12.800080217922273,TA,TA,Y,1.0,1.0,7,2009,WD,Normal,16.669361594795284,2.0,6.559490358416789,0.505369551484523,0.0,0,2,1.0,12.454107814022272
26,20,RL,6.684506656824126,19.598237927298484,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,1.0,TA,TA,CBlock,TA,TA,Mn,BLQ,9.453929696886426,Rec,11.200342662007953,8.873203454932757,GasA,TA,Y,SBrkr,1.0,12.831021744455525,3,1,Gd,5,Typ,0,No,Detchd,2005.0,Unf,2.0,11.634887347225343,TA,TA,Y,1.0,1.0,5,2010,WD,Normal,14.856094820831991,1.5,9.64032225948934,0.5,0.8,49,10,0.0,11.811554895830454
27,20,RL,7.615044151314694,21.42865738002689,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,9.103593650252291,Gd,TA,PConc,Ex,TA,No,GLQ,13.689051809657878,Unf,1.0,11.200342662007953,GasA,Ex,Y,SBrkr,1.0,14.68815953063993,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3.0,12.410720730871269,TA,TA,Y,1.0,1.0,5,2010,WD,Normal,16.917433488070884,3.0,6.357203202420049,0.5,0.7147887323943662,1,2,0.0,12.631343648903034
28,20,RL,6.2483574728065365,22.897709715168865,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,1.0,TA,TA,CBlock,TA,TA,Gd,BLQ,13.826768097626793,Unf,1.0,9.179633643422095,GasA,TA,Y,SBrkr,1.0,14.496903957925936,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1.0,10.17063676912744,TA,TA,Y,1.0,1.0,12,2006,WD,Normal,16.581642769682787,2.0,11.496872282215678,0.5188067444876784,0.860512129380054,40,9,0.0,12.242891437918386
29,30,RM,6.684506656824126,19.11142301081849,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,1.0,TA,TA,BrkTil,TA,TA,No,Unf,1.0,Unf,1.0,11.371952633774399,GasA,Fa,N,SBrkr,1.0,11.371952633774399,1,1,Fa,4,Typ,0,No,Detchd,1920.0,Unf,1.0,9.511219710154148,Fa,TA,Y,1.0,1.0,5,2008,WD,Normal,13.236142518909933,1.0,8.27827898532087,0.5,0.0,23,58,0.0,11.134603622683905
30,70,C (all),6.357203202420049,20.23509144804234,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,1.0,TA,Fa,BrkTil,TA,TA,No,Unf,1.0,Unf,1.0,11.946836606797339,GasA,TA,N,SBrkr,1.0,13.91709217382567,3,1,TA,6,Typ,0,No,Detchd,1920.0,Unf,1.0,9.604063356421523,TA,Fa,N,1.0,1.0,7,2008,WD,Normal,15.129313517307915,1.0,9.375577002227507,0.6698880976602238,0.0,30,58,0.0,10.596659732783579
31,20,RL,1.0,20.2551569403525,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,1.0,TA,TA,CBlock,TA,TA,No,Unf,1.0,Unf,1.0,13.712786725393208,GasA,Gd,Y,SBrkr,1.0,13.712786725393208,3,1,Gd,6,Typ,0,No,Attchd,1966.0,Unf,1.0,9.789225410028124,TA,TA,Y,1.0,1.0,6,2008,WD,Normal,15.834870759354466,1.5,6.831327892742091,0.5,0.0,40,2,0.0,11.914054519303125
32,20,RL,7.337529394588084,21.274294298805096,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,1.0,Gd,TA,PConc,Ex,TA,Av,Unf,1.0,Unf,1.0,13.726948993886586,GasA,Ex,Y,SBrkr,1.0,13.726948993886586,3,1,Gd,7,Typ,0,No,Attchd,2007.0,RFn,2.0,11.189934126006927,TA,TA,Y,1.0,1.0,1,2008,WD,Normal,15.850590203012555,2.0,5.492017742920502,0.5,0.0,0,1,1.0,12.100161978566867
33,20,RL,6.968980585391403,21.088960261785648,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,1.0,TA,TA,CBlock,TA,TA,No,Rec,13.175674739199435,Unf,1.0,10.590598420556384,GasA,Gd,Y,SBrkr,1.0,14.680989389616148,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2.0,10.990473606737828,TA,TA,Y,1.0,1.0,4,2010,WD,Normal,16.59675835805115,2.0,5.882972919330174,0.5487411233053583,0.7281831187410587,0,51,1.0,12.016732516077072
34,120,RL,6.684506656824126,19.657314644491603,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,9.567309925236039,Ex,TA,PConc,Ex,TA,No,GLQ,13.530609486480795,Unf,1.0,10.764455971860276,GasA,Ex,Y,SBrkr,1.0,14.422452519028221,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2.0,11.543577039871613,TA,TA,Y,1.0,1.0,8,2007,WD,Normal,16.622536281270083,3.0,9.604063356421523,0.5,0.7386290839205637,0,2,1.0,12.533579815765737
35,60,RL,7.808145364123843,22.070798118999335,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,8.216434458396561,Gd,TA,PConc,Ex,TA,Av,Unf,1.0,Unf,1.0,13.439563774010223,GasA,Ex,Y,SBrkr,1.0,15.829616442063276,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3.0,12.113042599688864,TA,TA,Y,1.0,1.0,9,2006,WD,Normal,17.074302709701197,3.5,8.41200462999518,0.6870271784813673,0.0,1,1,0.0,12.6410997921206
36,20,RL,7.881187323763808,21.204295330992093,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,1.0,TA,TA,PConc,Gd,TA,No,Unf,1.0,Unf,1.0,13.387900672947353,GasA,Ex,Y,SBrkr,1.0,13.387900672947353,3,1,TA,6,Typ,0,No,Attchd,1995.0,Unf,2.0,12.038947685692156,TA,TA,Y,1.0,1.0,6,2009,WD,Normal,15.474255126561404,1.5,11.040244790550664,0.5,0.0,1,14,0.0,11.884495917930655
37,20,RL,7.07328940298831,20.24969325927918,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,11.950898606258738,TA,TA,CBlock,TA,TA,No,Rec,13.677122228700302,Unf,1.0,7.314734756825906,GasA,Gd,Y,SBrkr,1.0,13.872225893417898,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2.0,11.262041676152034,TA,TA,Y,1.0,1.0,10,2009,WD,Normal,16.011839148373426,1.5,1.0,0.5,0.9352351580570547,36,19,0.0,11.938199736300925
38,20,RL,6.914940018959451,19.96295464403062,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,1.0,TA,Gd,CBlock,TA,TA,No,GLQ,12.26354444890545,Unf,1.0,10.222126215438918,GasA,TA,Y,SBrkr,1.0,13.28212806108674,3,1,Gd,5,Typ,0,No,Detchd,1953.0,Unf,1.0,9.567309925236039,TA,TA,Y,1.0,1.0,1,2010,WD,Abnorml,15.356846765935671,2.0,6.42678077191518,0.5,0.6915799432355724,54,3,0.0,11.599112335481124
39,90,RL,6.831327892742091,18.94126240292932,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,1.0,TA,TA,PConc,No,No,No,No,1.0,No,1.0,1.0,GasA,TA,N,FuseP,1.0,13.52811325381343,2,2,Fa,6,Typ,0,No,No,0,No,0.0,1.0,No,No,N,1.0,1.0,6,2008,WD,AdjLand,13.52811325381343,2.0,1.0,1.0,0,0,53,1.0,11.314486721293981
40,20,RL,7.314734756825906,20.30673919566187,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,7.674652276188349,TA,TA,CBlock,TA,TA,No,Rec,11.922352455248765,Unf,1.0,10.979298049926308,GasA,Ex,Y,SBrkr,1.0,13.93265870142819,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2.0,10.951171656935063,TA,TA,Y,1.0,1.0,12,2006,WD,Abnorml,15.776668767573849,2.0,8.308627591436396,0.548922056384743,0.5909926470588235,0,41,1.0,11.982935344196433
